province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Phan Thiet,33,22,12,ENE,0.0,71,7,1010,2017-01-11
Phan Thiet,32,23,21,NE,0.0,62,7,1013,2018-01-11
Phan Thiet,31,23,20,ENE,0.0,67,18,1013,2019-01-11
Phan Thiet,29,21,12,E,0.0,74,23,1010,2020-01-11
Phan Thiet,28,21,18,NE,0.0,67,20,1011,2021-01-11
Phan Thiet,29,21,17,NE,0.0,67,12,1016,2009-01-16
Phan Thiet,31,21,15,NE,0.0,63,31,1015,2010-01-16
Phan Thiet,29,22,15,NE,0.0,68,30,1012,2011-01-16
Phan Thiet,30,23,11,ENE,0.0,81,25,1008,2012-01-16
Phan Thiet,30,21,13,ENE,0.0,64,4,1014,2013-01-16
Phan Thiet,30,19,10,NE,0.0,64,13,1015,2014-01-16
Phan Thiet,30,17,14,ENE,0.0,66,4,1014,2015-01-16
Phan Thiet,31,23,10,ENE,0.0,77,13,1011,2016-01-16
Phan Thiet,31,23,17,ENE,1.2,71,45,1011,2017-01-16
Phan Thiet,27,23,9,NE,1.6,76,47,1010,2018-01-16
Phan Thiet,31,24,22,ENE,0.0,68,19,1012,2019-01-16
Phan Thiet,30,21,14,ENE,0.0,73,12,1012,2020-01-16
Phan Thiet,26,20,12,ENE,0.0,79,12,1011,2021-01-16
Phan Thiet,24,22,15,NE,7.6,86,77,1012,2009-01-03
Phan Thiet,31,25,16,ENE,0.0,67,25,1011,2010-01-03
Phan Thiet,31,21,12,E,0.2,72,26,1010,2011-01-03
Phan Thiet,28,22,15,ENE,0.0,76,6,1012,2012-01-03
Phan Thiet,31,23,15,ENE,0.7,70,31,1012,2013-01-03
Phan Thiet,29,20,8,E,0.0,79,15,1012,2014-01-03
Phan Thiet,31,22,12,NE,0.0,71,24,1012,2015-01-03
Phan Thiet,32,22,11,ENE,3.4,78,32,1015,2016-01-03
Phan Thiet,32,22,17,ENE,0.0,66,17,1011,2017-01-03
Phan Thiet,32,22,13,ENE,0.0,67,16,1009,2018-01-03
Phan Thiet,28,24,29,ENE,0.9,77,53,1014,2019-01-03
Phan Thiet,30,21,23,ENE,0.0,70,9,1014,2020-01-03
Phan Thiet,28,23,15,ENE,0.0,75,37,1011,2021-01-03
Phan Thiet,28,21,15,ENE,0.0,68,10,1014,2009-01-17
Phan Thiet,31,23,14,NE,0.0,65,35,1015,2010-01-17
Phan Thiet,29,20,12,NE,0.0,66,5,1012,2011-01-17
Phan Thiet,30,22,11,ENE,0.6,82,30,1008,2012-01-17
Phan Thiet,31,21,14,NE,0.0,63,17,1013,2013-01-17
Phan Thiet,29,19,14,NE,0.0,65,15,1015,2014-01-17
Phan Thiet,31,19,16,NE,0.0,65,18,1014,2015-01-17
Phan Thiet,32,23,7,E,0.0,79,6,1010,2016-01-17
Phan Thiet,31,23,19,ENE,0.0,65,19,1012,2017-01-17
