province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Thai Nguyen,18,14,7,ENE,2.5,71,96,1024,2015-01-08
Thai Nguyen,23,19,11,ESE,5.2,83,95,1018,2016-01-08
Thai Nguyen,27,18,5,SE,0.0,79,39,1013,2017-01-08
Thai Nguyen,22,10,15,ENE,13.7,84,98,1015,2018-01-08
Thai Nguyen,17,13,7,ENE,6.5,86,100,1019,2019-01-08
Thai Nguyen,26,20,7,SE,0.1,78,79,1016,2020-01-08
Thai Nguyen,8,6,10,NNE,0.0,55,90,1026,2021-01-08
Thai Nguyen,21,7,7,ENE,0.0,50,5,1028,2009-01-10
Thai Nguyen,23,14,7,ENE,1.3,89,65,1014,2010-01-10
Thai Nguyen,17,8,9,NE,0.0,55,49,1020,2011-01-10
Thai Nguyen,22,11,5,ESE,0.3,71,23,1022,2012-01-10
Thai Nguyen,15,11,7,NE,0.0,55,59,1021,2013-01-10
Thai Nguyen,19,12,5,E,0.7,73,75,1021,2014-01-10
Thai Nguyen,12,11,9,S,11.0,86,91,1025,2015-01-10
Thai Nguyen,27,19,8,ESE,6.8,82,47,1014,2016-01-10
Thai Nguyen,21,20,7,ESE,21.7,92,99,1015,2017-01-10
Thai Nguyen,15,12,5,E,0.0,51,79,1028,2018-01-10
Thai Nguyen,19,14,4,ENE,4.7,89,100,1019,2019-01-10
Thai Nguyen,25,20,8,SSE,1.4,81,71,1013,2020-01-10
Thai Nguyen,15,8,7,NE,0.0,30,44,1023,2021-01-10
Thai Nguyen,18,11,10,ENE,0.0,58,17,1029,2009-01-09
Thai Nguyen,21,14,7,SE,0.7,91,88,1014,2010-01-09
Thai Nguyen,15,11,10,NE,0.1,63,62,1022,2011-01-09
Thai Nguyen,18,11,9,ENE,0.8,71,65,1022,2012-01-09
Thai Nguyen,15,11,10,NE,0.3,59,57,1021,2013-01-09
Thai Nguyen,16,13,10,NE,0.6,65,88,1022,2014-01-09
Thai Nguyen,14,12,9,NNE,3.8,77,97,1025,2015-01-09
Thai Nguyen,25,19,13,ESE,13.3,85,85,1015,2016-01-09
Thai Nguyen,26,20,8,ESE,1.9,82,97,1014,2017-01-09
Thai Nguyen,16,9,10,NE,3.0,61,69,1025,2018-01-09
Thai Nguyen,14,12,5,NE,16.3,89,100,1021,2019-01-09
Thai Nguyen,26,21,7,SE,1.5,80,84,1014,2020-01-09
Thai Nguyen,13,8,7,ENE,0.0,35,65,1024,2021-01-09
Thai Nguyen,23,13,5,S,0.1,81,36,1018,2009-01-04
Thai Nguyen,24,16,7,SE,2.3,93,81,1011,2010-01-04
Thai Nguyen,16,10,8,NE,0.9,81,82,1019,2011-01-04
Thai Nguyen,9,8,13,NE,5.6,80,92,1025,2012-01-04
Thai Nguyen,11,8,9,NE,1.2,75,93,1021,2013-01-04
Thai Nguyen,24,15,6,ENE,0.0,59,24,1019,2014-01-04
Thai Nguyen,21,16,7,SE,0.7,85,67,1013,2015-01-04
Thai Nguyen,19,14,7,ESE,0.5,78,69,1017,2016-01-04
Thai Nguyen,26,19,5,S,0.0,75,35,1017,2017-01-04
Thai Nguyen,23,19,3,SE,2.8,91,100,1015,2018-01-04
Thai Nguyen,19,14,4,E,0.3,80,86,1023,2019-01-04
Thai Nguyen,23,19,8,SE,0.6,84,86,1018,2020-01-04
Thai Nguyen,21,13,5,S,0.0,55,29,1021,2021-01-04
Thai Nguyen,22,15,6,E,2.7,88,64,1019,2009-01-06
Thai Nguyen,17,15,10,NE,5.9,87,96,1017,2010-01-06
Thai Nguyen,17,10,12,NE,0.8,71,60,1023,2011-01-06
Thai Nguyen,15,10,7,NE,0.2,78,75,1023,2012-01-06
Thai Nguyen,15,9,8,NE,0.3,63,57,1020,2013-01-06
Thai Nguyen,21,16,10,SSE,0.9,87,78,1013,2014-01-06
Thai Nguyen,24,21,6,ESE,2.4,90,79,1013,2015-01-06
Thai Nguyen,25,19,7,SE,0.3,83,68,1017,2016-01-06
Thai Nguyen,24,19,4,NW,2.9,83,64,1014,2017-01-06
Thai Nguyen,21,19,6,SE,8.8,90,100,1012,2018-01-06
Thai Nguyen,21,17,5,E,0.4,77,100,1020,2019-01-06
Thai Nguyen,25,20,8,SE,0.6,78,93,1016,2020-01-06
Thai Nguyen,20,16,5,ENE,0.0,55,90,1019,2021-01-06
Thai Nguyen,21,6,7,NNE,0.0,45,7,1029,2009-01-14
Thai Nguyen,18,10,5,SE,0.0,68,33,1025,2010-01-14
Thai Nguyen,21,9,4,ESE,0.3,76,63,1017,2011-01-14
Thai Nguyen,20,16,2,SSE,8.9,89,96,1013,2012-01-14
Thai Nguyen,20,11,6,E,0.2,72,43,1017,2013-01-14
Thai Nguyen,20,7,7,NNE,0.0,58,1,1025,2014-01-14
Thai Nguyen,23,10,4,ESE,0.0,61,0,1023,2015-01-14
Thai Nguyen,19,16,7,ENE,4.4,85,100,1016,2016-01-14
Thai Nguyen,20,13,7,NE,0.0,71,85,1018,2017-01-14
Thai Nguyen,21,14,6,WSW,0.0,62,81,1021,2018-01-14
Thai Nguyen,23,20,6,ESE,1.7,88,83,1016,2019-01-14
Thai Nguyen,23,18,8,ESE,8.0,88,99,1014,2020-01-14
Thai Nguyen,22,11,4,ESE,0.0,49,11,1017,2021-01-14
Thai Nguyen,20,9,8,NNE,0.0,47,12,1028,2009-01-12
Thai Nguyen,13,10,8,ENE,3.3,80,69,1025,2010-01-12
Thai Nguyen,17,5,5,E,0.0,58,36,1019,2011-01-12
Thai Nguyen,20,12,5,E,3.4,81,76,1022,2012-01-12
Thai Nguyen,17,10,7,NNE,0.0,63,50,1021,2013-01-12
Thai Nguyen,15,12,11,NE,1.8,76,76,1024,2014-01-12
Thai Nguyen,20,9,8,NNE,0.3,74,14,1024,2015-01-12
Thai Nguyen,20,15,8,ENE,0.2,74,93,1019,2016-01-12
Thai Nguyen,14,11,14,NNE,26.8,89,100,1016,2017-01-12
Thai Nguyen,17,10,6,E,0.0,44,50,1026,2018-01-12
Thai Nguyen,23,18,5,ESE,1.1,86,88,1018,2019-01-12
Thai Nguyen,18,13,7,NNE,3.7,78,98,1016,2020-01-12
Thai Nguyen,19,9,6,WNW,0.0,39,32,1026,2021-01-12
Thai Nguyen,20,7,7,ENE,0.0,47,6,1031,2009-01-13
Thai Nguyen,14,11,6,ESE,0.0,70,61,1026,2010-01-13
Thai Nguyen,18,6,5,ESE,0.0,69,35,1017,2011-01-13
Thai Nguyen,21,12,4,SE,0.0,81,55,1018,2012-01-13
Thai Nguyen,23,9,5,ESE,0.0,68,4,1017,2013-01-13
Thai Nguyen,15,9,9,NE,0.4,68,62,1025,2014-01-13
Thai Nguyen,22,10,5,NNE,0.0,64,1,1023,2015-01-13
Thai Nguyen,19,15,8,ENE,1.3,79,100,1018,2016-01-13
Thai Nguyen,16,10,8,NE,7.0,79,90,1017,2017-01-13
Thai Nguyen,16,9,5,SE,0.0,54,51,1023,2018-01-13
Thai Nguyen,24,20,5,ESE,2.4,88,81,1017,2019-01-13
Thai Nguyen,21,16,4,SE,0.1,77,96,1015,2020-01-13
Thai Nguyen,20,11,5,ESE,0.0,39,17,1018,2021-01-13
Thai Nguyen,21,11,6,ESE,0.0,68,31,1022,2009-01-03
Thai Nguyen,20,15,6,ESE,0.7,89,72,1016,2010-01-03
Thai Nguyen,14,12,10,NE,2.1,87,97,1018,2011-01-03
Thai Nguyen,16,12,9,NE,5.5,86,94,1019,2012-01-03
Thai Nguyen,14,10,12,NE,3.3,79,87,1023,2013-01-03
Thai Nguyen,24,12,8,ENE,0.0,75,23,1017,2014-01-03
Thai Nguyen,22,13,6,SE,0.0,73,22,1019,2015-01-03
Thai Nguyen,24,16,6,SE,0.0,81,39,1018,2016-01-03
Thai Nguyen,27,19,3,SE,0.2,78,61,1019,2017-01-03
Thai Nguyen,23,17,4,ESE,1.4,86,90,1017,2018-01-03
Thai Nguyen,17,12,5,E,0.0,65,88,1025,2019-01-03
Thai Nguyen,24,20,8,SSE,0.9,81,84,1020,2020-01-03
Thai Nguyen,17,11,4,SE,0.0,61,53,1021,2021-01-03
Thai Nguyen,23,10,6,E,0.0,42,13,1027,2009-01-15
Thai Nguyen,21,12,6,ENE,0.5,78,59,1023,2010-01-15
Thai Nguyen,17,10,12,ENE,0.1,56,29,1024,2011-01-15
Thai Nguyen,22,17,6,E,17.6,89,78,1010,2012-01-15
Thai Nguyen,20,14,5,ESE,1.4,78,88,1019,2013-01-15
Thai Nguyen,21,8,6,E,0.0,51,1,1024,2014-01-15
Thai Nguyen,22,13,6,ESE,0.0,63,0,1022,2015-01-15
Thai Nguyen,19,15,10,ENE,1.1,78,97,1013,2016-01-15
Thai Nguyen,19,13,9,NE,0.0,74,81,1020,2017-01-15
Thai Nguyen,20,16,6,SE,0.6,76,99,1016,2018-01-15
Thai Nguyen,18,14,9,NE,4.9,84,100,1019,2019-01-15
Thai Nguyen,23,20,13,SSE,1.0,81,95,1014,2020-01-15
Thai Nguyen,24,13,5,SSE,0.0,68,10,1015,2021-01-15
Thai Nguyen,21,13,4,SE,0.3,88,64,1018,2009-01-18
Thai Nguyen,23,13,6,SE,0.0,77,11,1022,2010-01-18
Thai Nguyen,15,8,8,NE,0.4,66,74,1020,2011-01-18
Thai Nguyen,25,17,7,SE,1.1,87,72,1010,2012-01-18
Thai Nguyen,17,13,7,NE,1.4,80,74,1026,2013-01-18
Thai Nguyen,22,11,8,NE,0.0,57,6,1027,2014-01-18
Thai Nguyen,21,13,8,NE,0.0,57,13,1024,2015-01-18
Thai Nguyen,22,14,9,E,0.0,63,26,1016,2016-01-18
Thai Nguyen,21,15,5,E,0.2,80,92,1020,2017-01-18
Thai Nguyen,22,17,6,ESE,0.8,85,85,1015,2018-01-18
Thai Nguyen,21,11,6,ESE,0.0,70,68,1021,2019-01-18
Thai Nguyen,17,15,4,NE,1.1,82,99,1018,2020-01-18
Thai Nguyen,22,9,5,WNW,0.0,50,17,1024,2021-01-18
Thai Nguyen,24,10,6,SSE,0.0,68,3,1020,2009-01-17
Thai Nguyen,21,13,4,E,0.3,77,59,1025,2010-01-17
Thai Nguyen,18,6,7,ENE,0.0,51,37,1022,2011-01-17
